"presenca" "lat" "lon" "class" "especie" "area" "Incidencia" "Total_erradicadas" "total_plantas"
"928" "Present" -21.88678 -45.4693 "Mini" "Mandarins" 6 47.29 1687 3567
"929" "Present" -21.8495 -45.4689 "Mini" "Mandarins" 3 0.07 1 1501
"930" "Present" -21.90091 -45.4687 "Mini" "Mandarins" 2.7 1.59 24 1512
"931" "Present" -21.83896 -45.4684 "Mini" "Mandarins" 9 52.13 5200 9975
"932" "Present" -21.90253 -45.4683 "Mini" "Mandarins" 5.4 10.29 335 3257
"933" "Present" -21.85911 -45.4673 "Small" "Sweet orange" 17.5 0.84 51 6036
"934" "Present" -21.86939 -45.4664 "Mini" "Mandarins" 1 10 40 400
"935" "Present" -21.84155 -45.4659 "Mini" "Mandarins" 4 3.96 82 2069
"936" "Present" -21.83744 -45.4657 "Mini" "Mandarins" 1.5 5.8 42 724
"937" "Present" -21.83614 -45.4643 "Mini" "Mandarins" 3 10.06 166 1650
"938" "Present" -21.82236 -45.4642 "Small" "Mandarins" 11.5 2.19 141 6441
"939" "Present" -21.89461 -45.4641 "Small" "Mandarins" 37.8 26.67 5786 21691
"940" "Present" -21.86186 -45.4637 "Mini" "Mandarins" 2 7.88 85 1078
"941" "Present" -21.84054 -45.4636 "Mini" "Mandarins" 8 4.47 186 4160
"942" "Present" -21.83569 -45.4633 "Mini" "Mandarins" 6 2.4 73 3040
"943" "Present" -21.84978 -45.4618 "Small" "Mandarins" 20.5 2.45 288 11756
"944" "Present" -21.89452 -45.4616 "Small" "Mandarins" 37 0.36 61 16837
"945" "Present" -21.85452 -45.4605 "Mini" "Mandarins" 5 17.55 532 3032
"946" "Present" -20.1455 -45.46028 "Mini" "Mandarins" 5 12.98 292 2250
"947" "Present" -21.85375 -45.4602 "Mini" "Mandarins" 3 11.4 588 5160
"948" "Present" -20.15814 -45.46 "Mini" "Mandarins" 2.88 1.38 22 1600
"949" "Present" -21.8285 -45.4597 "Small" "Mandarins" 15 3.07 282 9182
"950" "Present" -21.79899 -45.4594 "Small" "Mandarins" 19.4 0.05 5 10005
"951" "Present" -21.8008 -45.4592 "Small" "Mandarins" 17.6 2.15 172 8000
"952" "Present" -21.85444 -45.4592 "Small" "Mandarins" 14.69 6.52 518 7940
"953" "Present" -21.9364 -45.4589 "Mini" "Mandarins" 3.6 13.56 276 2036
"954" "Present" -21.83278 -45.4584 "Mini" "Mandarins" 3 1.26 19 1505
"955" "Present" -21.92856 -45.4584 "Mini" "Mandarins" 8 0.45 20 4462
"956" "Present" -20.07144 -45.45833 "Mini" "Mandarins" 8 0.64 35 5442
"957" "Present" -21.82932 -45.4581 "Mini" "Mandarins" 8 3.13 231 7386
"958" "Present" -21.84736 -45.458 "Mini" "Mandarins" 2 94.73 2842 3000
"959" "Present" -21.89075 -45.4572 "Small" "Mandarins" 41 0.48 107 22306
"960" "Present" -21.08923 -45.4572 "Medium" "Mandarins" 104.5 0.05 32 67533
"961" "Present" -21.83492 -45.4569 "Mini" "Mandarins" 3.6 1.04 21 2021
"962" "Present" -20.10725 -45.45667 "Medium" "Sweet orange" 130 1.05 936 89000
"963" "Present" -20.16508 -45.45667 "Small" "Mandarins" 36 1.3 26 2000
"964" "Present" -21.81823 -45.4566 "Small" "Mandarins" 14.7 38.17 3185 8345
"965" "Present" -21.88833 -45.4559 "Mini" "Mandarins" 6.4 2.08 78 3744
"966" "Present" -21.93161 -45.4556 "Mini" "Mandarins" 2 4.99 231 4631
"967" "Present" -21.93161 -45.4556 "Mini" "Mandarins" 9 7.58 356 4696
"968" "Present" -21.83156 -45.4553 "Small" "Mandarins" 24 41.28 3540 8576
"969" "Absent" -21.92561 -45.4549 "Mini" "Mandarins" 1.8 0 0 1000
"970" "Present" -21.9256 -45.4547 "Mini" "Mandarins" 4.7 1.92 50 2600
"971" "Present" -21.80681 -45.4538 "Mini" "Mandarins" 2 2.73 28 1025
"972" "Present" -21.93192 -45.4528 "Mini" "Mandarins" 2.5 0.3 4 1354
"973" "Present" -20.13683 -45.45167 "Mini" "Mandarins" 1.6 0.78 7 900
"974" "Present" -21.84807 -45.4512 "Mini" "Mandarins" 9 6.77 346 5114
"975" "Present" -21.81442 -45.4506 "Mini" "Mandarins" 2 8.49 90 1060
"976" "Present" -21.92464 -45.4504 "Mini" "Mandarins" 2 5.77 59 1023
"977" "Present" -21.97 -45.45 "Mini" "Mandarins" 10 6.06 444 7324
"978" "Present" -21.80697 -45.4496 "Mini" "Mandarins" 4.7 2.21 58 2630
"979" "Present" -20.07692 -45.44806 "Mini" "Mandarins" 3.6 3.02 60 1990
"980" "Present" -21.85674 -45.4479 "Mini" "Mandarins" 2 24.64 327 1327
"981" "Absent" -21.82931 -45.4478 "Mini" "Mandarins" 4 0 0 2200
"982" "Present" -21.799 -45.4474 "Small" "Mandarins" 19.6 1.74 191 10995
"983" "Present" -21.92492 -45.4468 "Mini" "Mandarins" 1 4.31 18 418
"984" "Present" -21.93233 -45.4434 "Mini" "Mandarins" 4.5 1.04 25 2400
"985" "Absent" -20.11792 -45.44306 "Mini" "Mandarins" 4.1 0 0 2300
"986" "Present" -21.79569 -45.4427 "Mini" "Mandarins" 4.95 2.03 57 2807
"987" "Present" -21.85056 -45.4416 "Small" "Mandarins" 13.4 9.26 757 8178
"988" "Present" -21.83248 -45.4416 "Mini" "Sweet orange" 4.2 0.41 9 2200
"989" "Present" -20.14944 -45.44139 "Small" "Mandarins" 13.4 4 297 7421
"990" "Present" -21.88509 -45.4406 "Mini" "Mandarins" 5 12.29 612 4978
"991" "Present" -21.85244 -45.4404 "Small" "Mandarins" 15 5.95 525 8825
"992" "Absent" -21.79068 -45.4401 "Mini" "Mandarins" 9 0 0 5000
"993" "Present" -21.88281 -45.4401 "Mini" "Mandarins" 6.4 11.59 427 3684
"994" "Present" -21.81632 -45.4398 "Small" "Mandarins" 23 18.08 2831 15658
"995" "Present" -20.08803 -45.43972 "Mini" "Mandarins" 1.5 6.5 52 800
